Year,Australia,Brazil,Canada,China,Denmark,France,Germany,India,Israel,Japan,Kuwait,Malaysia,Mexico,Netherlands,New Zealand,Norway,Philippines,Russian,Singapore,South Africa,Spain,USA,United Kingdom
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2
1988,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
1990,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,52,1
1998,8,0,7,3,2,0,1,0,5,0,0,0,0,3,4,1,0,0,0,2,1,135,9
1999,6,2,11,3,0,0,0,0,1,1,1,0,0,3,3,2,0,0,1,6,13,133,17
2000,16,0,3,3,0,1,2,0,0,2,1,0,1,12,5,0,1,1,2,1,6,156,17
2001,12,0,18,3,1,1,3,2,2,0,1,1,0,5,0,1,0,0,3,1,4,168,19
2002,11,2,26,7,1,2,1,2,0,1,0,0,3,8,2,3,0,0,1,8,10,190,14
2003,17,0,19,20,1,1,5,1,0,1,0,1,0,20,2,1,0,0,0,3,15,186,24
2004,10,0,28,6,0,2,0,1,6,1,0,0,0,27,2,5,0,0,2,2,8,227,26
2005,3,0,18,8,1,3,1,3,2,1,1,1,1,6,1,3,0,0,0,1,11,213,31
2006,17,1,26,4,0,3,6,0,2,0,1,0,0,9,2,3,0,1,1,2,12,162,25
2007,19,3,36,4,0,4,3,0,2,0,0,1,3,20,2,3,0,0,1,3,15,187,26
2008,24,2,49,19,3,4,11,6,3,1,2,3,0,18,0,4,0,0,5,4,25,328,57
2009,30,2,84,41,2,17,20,4,6,4,0,0,7,25,7,11,0,0,2,3,37,423,76
2010,30,3,67,29,5,30,15,5,3,1,0,4,2,36,4,6,0,0,0,2,23,285,66
2011,45,2,49,24,8,25,20,5,4,2,0,4,3,25,14,7,0,0,5,7,25,275,39
2012,30,2,46,23,1,14,17,2,0,0,0,2,1,22,6,1,0,1,0,2,29,214,58
2013,49,7,55,42,8,34,14,3,1,1,1,2,0,24,12,4,2,1,1,2,31,280,66
2014,63,2,47,42,10,34,28,7,2,1,0,4,3,21,4,5,0,0,2,1,31,213,53
2015,41,7,40,65,7,42,19,4,4,1,0,0,2,18,8,8,0,1,3,2,43,300,55
2016,46,0,72,75,12,41,29,6,2,0,0,1,1,24,5,7,0,0,8,2,28,210,98
2017,59,4,44,54,11,46,23,5,0,0,0,2,1,16,4,5,0,4,6,2,30,240,79
2018,78,6,75,107,12,53,33,8,3,2,0,4,6,32,11,1,0,2,10,5,37,327,91
2019,65,1,72,92,8,76,53,12,3,0,0,4,3,20,10,6,0,4,6,5,34,356,124
2020,53,8,38,65,8,44,55,14,1,1,0,4,2,29,6,2,0,1,7,9,29,200,118
2021,45,11,39,59,10,45,21,7,0,0,0,1,3,15,17,9,0,2,5,2,18,226,118
2022,46,6,41,97,12,41,26,21,2,1,1,5,3,21,12,4,0,0,7,2,13,224,68
2023,30,0,20,99,4,30,22,2,3,2,0,2,1,16,3,5,0,2,7,5,7,142,49
