Year,Weighted Latitude,Weighted Longitude
1983,23.34432,46.22274
1984,36.61963478,63.65111739
1985,70.33763571,121.0823786
1986,134.3716737,239.2565842
1987,177.8209667,312.4811833
1988,119.1716389,216.1589583
1989,107.19455,198.5379462
1990,168.5127436,310.1564231
1991,177.5476565,331.6229217
1992,235.592905,433.3797225
1993,239.0966213,434.4115723
1994,241.9457963,439.4510556
1995,305.3992,553.7738062
1996,331.1846898,603.7907878
1997,261.4675943,479.8835314
1998,127.3099242,242.9843608
1999,148.9312363,279.5621716
2000,167.9898487,322.5411686
2001,183.4051907,349.0641198
2002,193.3370373,368.8947838
2003,208.5696373,393.7569286
2004,230.0789457,425.2879011
2005,290.8367038,529.5512363
2006,341.4979629,619.8543458
2007,323.8165892,584.1413544
2008,187.1031192,334.5294957
2009,165.2900502,290.1862183
2010,238.2833198,411.9743397
2011,287.6155046,501.3667274
2012,376.5663902,653.6116077
2013,316.0883783,549.2917884
2014,360.0359449,628.5227263
2015,344.609246,601.148165
2016,376.829463,651.0635202
2017,422.0591747,728.2409082
2018,309.2046192,535.7494908
2019,341.0295724,586.7832082
2020,487.9989794,830.1993893
2021,539.4572129,913.4449261
2022,569.4714759,966.1525813
2023,832.2198472,1412.024118
