Year,Total Documents,Coauthored Documents,Independent Documents,Cooperation Percentage
1982,3,0,3,0
1983,5,0,5,0
1984,23,14,9,60.869565
1985,28,12,16,42.857143
1986,19,8,11,42.105263
1987,18,4,14,22.222222
1988,36,15,21,41.666667
1989,52,23,29,44.230769
1990,39,15,24,38.461538
1991,46,22,24,47.826087
1992,40,11,29,27.5
1995,47,26,27,42.553191
1996,54,15,27,50
1997,48,22,22,54.166667
1998,49,92,34,30.612245
1999,70,123,48,31.428571
2000,194,125,102,47.42268
2001,215,144,92,57.209302
2002,236,172,111,52.966102
1993,268,20,124,53.731343
1994,308,27,136,55.844156
2003,346,216,130,62.427746
2004,374,225,149,60.160428
2005,339,203,136,59.882006
2006,321,189,132,58.878505
2007,379,253,126,66.754617
2008,783,649,134,82.886335
2009,1090,866,224,79.449541
2010,869,754,115,86.766398
2011,796,701,95,88.065327
2012,660,583,77,88.333333
2013,865,791,74,91.445087
2014,820,763,57,93.04878
2015,934,837,97,89.614561
2016,926,879,47,94.924406
2017,885,814,71,91.977401
2018,1323,1253,70,94.708995
2019,1310,1222,88,93.282443
2021,972,879,40,95.884774
2020,927,932,48,94.822006
2022,924,875,49,94.69697
2023,654,633,21,96.788991
