Year,Australia,Canada,France,Germany,Italy,Netherlands,Peoples R China,Spain,UK,USA
1982,0,0,0,0,0,0,0,0,0,3
1983,0,0,0,0,0,0,0,0,0,3
1984,0,0,0,0,0,0,0,0,2,16
1985,0,0,0,0,0,0,0,0,3,25
1986,0,0,0,0,0,0,0,0,0,15
1987,0,0,0,0,0,0,0,0,2,14
1988,0,0,0,0,0,0,0,0,0,28
1989,0,0,0,0,0,0,0,0,0,33
1990,0,0,0,0,0,0,0,0,2,23
1991,0,0,0,0,0,0,0,0,0,41
1992,0,0,0,0,0,0,0,0,4,27
1993,0,0,0,0,0,0,0,0,5,40
1994,0,0,0,0,0,0,0,0,3,43
1995,0,0,0,0,0,0,0,0,3,37
1996,0,0,0,0,0,0,0,0,1,39
1997,0,0,0,0,0,0,0,0,1,52
1998,8,7,0,1,0,3,3,1,9,135
1999,6,11,0,0,1,3,3,13,17,133
2000,16,3,1,2,0,12,3,6,17,156
2001,12,18,1,3,0,5,3,4,19,168
2002,11,26,2,1,2,8,7,10,14,190
2003,17,19,1,5,0,20,20,15,24,186
2004,10,28,2,0,2,27,6,8,26,227
2005,3,18,3,1,0,6,8,11,31,213
2006,17,26,3,6,3,9,4,12,25,162
2007,19,36,4,3,4,20,4,15,26,187
2008,24,49,4,11,4,18,19,25,57,328
2009,30,84,17,20,21,25,41,37,76,423
2010,30,67,30,15,9,36,29,23,66,285
2011,45,49,25,20,9,25,24,25,39,275
2012,30,46,14,17,7,22,23,29,58,214
2013,49,55,34,14,16,24,42,31,66,280
2014,63,47,34,28,5,21,42,31,53,213
2015,41,40,42,19,16,18,65,43,55,300
2016,46,72,41,29,7,24,75,28,98,210
2017,59,44,46,23,13,16,54,30,79,240
2018,78,75,53,33,27,32,107,37,91,327
2019,65,72,76,53,15,20,92,34,124,356
2020,53,38,44,55,13,29,65,29,118,200
2021,45,39,45,21,20,15,59,18,118,226
2022,46,41,41,26,19,21,97,13,68,224
2023,30,20,30,22,6,16,99,7,49,142
